date,sum,weekend
2018-07-01,67530.28999999996,True
2018-07-02,79849.02000000028,False
2018-07-03,34403.52000000075,False
2018-07-04,41810.680000000706,False
2018-07-05,51952.33000000064,False
2018-07-06,57303.9499999999,False
2018-07-07,67509.96,True
2018-07-08,66949.62999999998,True
2018-07-09,53174.210000000036,False
2018-07-10,63076.80000000037,False
2018-07-11,33345.85000000061,False
2018-07-12,42522.06000000044,False
2018-07-13,49982.1199999998,False
2018-07-14,43322.81999999997,True
2018-07-15,58654.57999999992,True
2018-07-16,44050.97000000016,False
2018-07-17,41445.600000000486,False
2018-07-18,35549.830000000315,False
2018-07-19,46541.559999999925,False
2018-07-20,65174.17999999995,False
2018-07-21,72873.02000000008,True
2018-07-22,85742.65999999964,True
2018-07-23,47980.19999999995,False
2018-07-24,50856.66000000072,False
2018-07-25,51245.27999999992,False
2018-07-26,51182.97999999992,False
2018-07-27,65610.12000000013,False
2018-07-28,64706.04999999992,True
2018-07-29,65779.30000000009,True
2018-07-30,64980.17000000013,False
2018-07-31,46833.49000000059,False
2018-08-01,51011.9500000007,False
2018-08-02,46681.73000000013,False
2018-08-03,51731.999999999905,False
2018-08-04,78539.21000000018,True
2018-08-05,80198.26000000001,True
2018-08-06,55479.46000000055,False
2018-08-07,50906.23000000042,False
2018-08-08,50833.27,False
2018-08-09,57655.02000000004,False
2018-08-10,45289.20999999999,False
2018-08-11,66399.19,True
2018-08-12,71732.70000000016,True
2018-08-13,65701.98000000007,False
2018-08-14,46701.29000000065,False
2018-08-15,45755.50999999992,False
2018-08-16,53086.549999999945,False
2018-08-17,40988.799999999916,False
2018-08-18,76830.64000000006,True
2018-08-19,55182.310000000085,True
2018-08-20,50208.73000000054,False
2018-08-21,51384.12999999984,False
2018-08-22,47893.66,False
2018-08-23,42303.4800000005,False
2018-08-24,45644.669999999795,False
2018-08-25,62903.31999999999,True
2018-08-26,59410.320000000014,True
2018-08-27,43722.660000000615,False
2018-08-28,45043.12999999996,False
2018-08-29,41521.770000000506,False
2018-08-30,44939.88999999995,False
2018-08-31,43674.7099999999,False
2018-09-01,66694.85999999994,True
2018-09-02,68193.35999999999,True
2018-09-03,74892.33000000019,False
2018-09-04,41740.18000000031,False
2018-09-05,42062.959999999606,False
2018-09-06,56456.760000000104,False
2018-09-07,38230.17999999991,False
2018-09-08,63708.7,True
2018-09-09,64174.36000000002,True
2018-09-10,29079.030000000137,False
2018-09-11,39193.820000000655,False
2018-09-12,46086.08999999977,False
2018-09-13,59875.29999999996,False
2018-09-14,35476.299999999654,False
2018-09-15,32438.150000000005,True
2018-09-16,31094.05000000006,True
2018-09-17,28019.709999999937,False
2018-09-18,44507.470000000685,False
2018-09-19,40832.94000000052,False
2018-09-20,43668.91999999993,False
2018-09-21,33691.38000000011,False
2018-09-22,59854.72999999997,True
2018-09-23,63889.12999999998,True
2018-09-24,36865.96999999963,False
2018-09-25,31443.060000000176,False
2018-09-26,65342.25999999977,False
2018-09-27,25747.970000000427,False
2018-09-28,55262.38000000036,False
2018-09-29,61754.53999999988,True
2018-09-30,30201.530000000057,True
2018-10-01,28188.960000000086,False
2018-10-02,40567.21999999961,False
2018-10-03,44561.4399999996,False
2018-10-04,38971.15999999956,False
2018-10-05,41975.74999999955,False
2018-10-06,65804.93000000002,True
2018-10-07,84271.50000000013,True
2018-10-08,44375.18999999956,False
2018-10-09,40156.81000000042,False
2018-10-10,38704.27000000035,False
2018-10-11,34645.65999999954,False
2018-10-12,34863.46999999954,False
2018-10-13,26081.070000000167,True
2018-10-14,26596.229999999967,True
2018-10-15,69225.59000000005,False
2018-10-16,62882.67000000004,False
2018-10-17,29078.369999999974,False
2018-10-18,39421.83000000038,False
2018-10-19,49434.08000000029,False
2018-10-20,35747.520000000266,True
2018-10-21,61884.79000000011,True
2018-10-22,22191.85000000036,False
2018-10-23,38373.11999999995,False
2018-10-24,37416.450000000215,False
2018-10-25,46376.93000000042,False
2018-10-26,47126.740000000435,False
2018-10-27,59862.28000000003,True
2018-10-28,76033.61000000003,True
2018-10-29,36630.78999999997,False
2018-10-30,68120.37000000007,False
2018-10-31,28440.06,False
2018-11-01,35232.2500000004,False
2018-11-02,56393.799999999675,False
2018-11-03,72012.6100000003,True
2018-11-04,67235.00000000012,True
2018-11-05,42495.60999999959,False
2018-11-06,40934.23999999962,False
2018-11-07,37783.39999999958,False
2018-11-08,45144.50999999969,False
2018-11-09,30075.169999999493,False
2018-11-10,23806.97000000008,True
2018-11-11,29959.26000000017,True
2018-11-12,37656.01000000032,False
2018-11-13,33327.54000000044,False
2018-11-14,25298.46000000032,False
